camper_id,first_name,last_name,age,camps,activities
186,Sam,Torres,14,,
187,Hana,Abebe,12,,
188,Casey,Sharma,14,,
189,Valentina,Martinez,14,,
190,Vihaan,Wong,10,,
191,Hassan,Fischer,9,,
192,Taylor,Abebe,9,,
193,Mila,Garcia,13,,
194,Casey,Zhang,10,,
195,Kofi,Martinez,9,,
196,Eva,Lopez,12,,
197,Jamal,Wong,17,,
198,Rohan,Haddad,15,,
199,Zuri,Al-Farsi,11,,
200,Emma,Martinez,9,,
